2016-09-22,The Amity Affliction,Metal,The Beacham,Orlando,6:00 PM,18.00 
2016-11-01,Oh Wonder,Alternative,The Beacham,Orlando,8:00 PM,17.00 
2016-11-14,Tegan and Sara,Pop,The Beacham,Orlando,7:00 PM,32.00 
2016-08-04,Chris Stapleton,Country,St. Augustine Amphitheatre,St. Augustine,7:00 PM,50.00 
2016-08-07,Walk the Moon,Rock,St. Augustine Amphitheatre,St. Augustine,7:30 PM,44.00 
2016-08-11,Slightly Stoopid,Reggae,St. Augustine Amphitheatre,St. Augustine,5:30 PM,42.50 
2016-08-11,SOJA,Reggae,St. Augustine Amphitheatre,St. Augustine,5:30 PM,42.50 
2016-08-11,Fortunate Youth,Reggae,St. Augustine Amphitheatre,St. Augustine,5:30 PM,42.50 
2016-08-14,Ray LaMontagne,Rock,St. Augustine Amphitheatre,St. Augustine,7:00 PM,60.00 
2016-08-31,Goo Goo Dolls,Classic Rock,St. Augustine Amphitheatre,St. Augustine,6:00 PM,49.50 
2016-08-31,Collective Soul,Rock,St. Augustine Amphitheatre,St. Augustine,6:00 PM,49.50 
2016-09-10,Brian Wilson,Pop,St. Augustine Amphitheatre,St. Augustine,8:00 PM,59.50 
2016-09-23,Widespread Panic,Rock,St. Augustine Amphitheatre,St. Augustine,7:00 PM,59.50 
2016-09-24,Widespread Panic,Rock,St. Augustine Amphitheatre,St. Augustine,7:00 PM,59.50 
2016-10-13,NEEDTOBREATHE,Pop,St. Augustine Amphitheatre,St. Augustine,6:00 PM,34.00 
2016-10-29,Bonnie Raitt,Rock,St. Augustine Amphitheatre,St. Augustine,7:30 PM,34.00 
2016-11-05,ZZ Top,Classic Rock,St. Augustine Amphitheatre,St. Augustine,7:30 PM,69.00 
2016-11-11,The Doobie Brothers,Classic Rock,St. Augustine Amphitheatre,St. Augustine,7:00 PM,76.00 
2016-11-12,Chris Young,Country,St. Augustine Amphitheatre,St. Augustine,7:00 PM,49.50 
2016-11-12,Dustin Lynch,Country,St. Augustine Amphitheatre,St. Augustine,7:00 PM,49.50 
2016-09-02,Tony Joe White,Blues,Ponte Vedra Music Hall,Jacksonville,8:00 PM,38.50 
2016-09-28,The Ann Wilson Thing,Rock,Ponte Vedra Music Hall,Jacksonville,8:00 PM,73.00 
2016-10-09,Henry Rollins,Rap,Ponte Vedra Music Hall,Jacksonville,8:00 PM,33.00 
2016-10-16,The Mike Stern Trio,Jazz,Ponte Vedra Music Hall,Jacksonville,8:00 PM,38.50 
2016-11-13,WAR,Classic Rock,Ponte Vedra Music Hall,Jacksonville,8:00 PM,43.50 
2016-12-01,California Guitar Trio,Jazz,Ponte Vedra Music Hall,Jacksonville,8:00 PM,33.50 
2016-12-02,The Stanley Clarke Band,Jazz,Ponte Vedra Music Hall,Jacksonville,8:00 PM,53.00 
2017-02-22,Colin Hay,Rock,Ponte Vedra Music Hall,Jacksonville,8:00 PM,43.00 
2016-09-02,Judas Maiden / Blackout (Scorpions Cover),Classic Rock,Jannus Live,Tampa,8:00 PM,5.00 
2016-09-11,FLUME,Electronic,Jannus Live,Tampa,7:00 PM,30.00 
2016-09-17,Ballyhoo!,Alternative,Jannus Live,Tampa,7:00 PM,15.00 
2016-09-17,Zach Deputy,Rock,Jannus Live,Tampa,7:00 PM,15.00 
2016-09-17,Bumpin' Uglies,Reggae,Jannus Live,Tampa,7:00 PM,15.00 
2016-09-17,Sun-Dried Vibes,Reggae,Jannus Live,Tampa,7:00 PM,15.00 
2016-09-24,Gov't Mule,Rock,Jannus Live,Tampa,7:00 PM,31.50 
2016-10-28,VNV Nation,Electronic,Jannus Live,Tampa,7:00 PM,30.00 
2016-11-03,Fitz & The Tantrums,Pop,Jannus Live,Tampa,7:00 PM,39.00 
2016-11-04,Switchfoot,Rock,Jannus Live,Tampa,6:30 PM,29.00 
2016-11-04,Relient K,Rock,Jannus Live,Tampa,6:30 PM,29.00 
2016-11-12,Elle King,Alternative,Jannus Live,Tampa,7:00 PM,25.00 
2016-11-13,Street Light Manifesto,Alternative,Jannus Live,Tampa,5:00 PM,20.00 
2016-08-06,Blink 182,Rock,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,140.00 
2016-08-06,A Day to Remember,Metal,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,140.00 
2016-08-06,The All-American Rejects,Rock,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,140.00 
2016-08-11,Hillsong Worship,Rock,Midflorida Credit Union Amphitheatre,Tampa,6:30 PM,110.00 
2016-08-12,Brad Paisley,Country,Midflorida Credit Union Amphitheatre,Tampa,7:30 PM,65.00 
2016-08-15,Def Leppard,Classic Rock,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,126.00 
2016-08-15,R.E.O. Speedwagon,Classic Rock,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,126.00 
2016-08-15,Tesla,Classic Rock,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,126.00 
2016-08-19,Dixie Chicks,Pop,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,137.00 
2016-08-25,Fifth Harmony,Pop,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,134.00 
2016-08-27,Brantley Gilbert,Country,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,122.00 
2016-09-09,Miranda Lambert,Country,Midflorida Credit Union Amphitheatre,Tampa,7:30 PM,101.00 
2016-09-18,Zac Brown Band,Country,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,113.00 
2016-09-22,Heart,Classic Rock,Midflorida Credit Union Amphitheatre,Tampa,6:30 PM,114.00 
2016-09-22,Joan Jett and the Blackhearts,Classic Rock,Midflorida Credit Union Amphitheatre,Tampa,6:30 PM,114.00 
2016-09-23,Toby Keith,Country,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,73.00 
2016-10-01,AWOLNATION,Rock,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,105.00 
2016-10-01,Prophets of Rage,Rock,Midflorida Credit Union Amphitheatre,Tampa,7:00 PM,105.00 
2016-10-11,Korn,Rock,Midflorida Credit Union Amphitheatre,Tampa,6:00 PM,85.00 
2016-10-11,Breaking Benjamin,Rock,Midflorida Credit Union Amphitheatre,Tampa,6:00 PM,85.00 
2016-08-12,Bayside,Alternative,Hard Rock Live,Orlando,7:30 PM,17.00 
2016-08-30,Goo Goo Dolls,Classic Rock,Hard Rock Live,Orlando,7:30 PM,70.00 
2016-08-12,The Molly Ringwalds,Classic Rock,House of Blues,Orlando,7:30 PM,12.75 
2016-08-27,Dru Hill,R&B/Soul,House of Blues,Orlando,7:00 PM,30.25 
2016-08-27,Lyfe Jennings,R&B/Soul,House of Blues,Orlando,7:00 PM,30.25 
2016-09-08,FLUME,Electronic,House of Blues,Orlando,7:00 PM,29.50 
2016-09-17,Draco Rosa,Pop,House of Blues,Orlando,7:00 PM,37.75 
2016-09-23,Boyce Avenue,Pop,House of Blues,Orlando,6:00 PM,25.00 
2016-10-01,Ben Rector,Pop,House of Blues,Orlando,7:00 PM,28.50 
2016-10-03,Charlie Puth,Pop,House of Blues,Orlando,7:00 PM,28.00 
2016-10-04,Clutch,Metal,House of Blues,Orlando,7:00 PM,29.00 
2016-10-11,Bad Religion,Classic Rock,House of Blues,Orlando,6:30 PM,27.50 
2016-10-11,Against Me!,Rock,House of Blues,Orlando,6:30 PM,27.50 
